_id,year,expenseCategory
1,2020,Pension
2,2020,Defence
3,2020,Subsidy- Fertiliser 
4,2020,Subsidy- Food 
5,2020,Subsidy-  Petroleum
6,2020,Agriculture and Allied Activities
7,2020,Commerce and Industry
8,2020,Development of North East
9,2020,Education
10,2020,Energy
11,2020,External Affairs
12,2020,Finance
13,2020,Health
14,2020,Home Affairs
15,2020,Interest
16,2020,IT and Telecom
17,2020,Others
18,2020,Planning and Statistics
19,2020,Rural Development
20,2020,Scientific Departments
21,2020,Social Welfare
22,2020,Tax Administration
23,2020,Transfer to States
24,2020,Transport
25,2020,Union Territories
26,2020,Urban Development
27,2021,Pension
28,2021,Defence
29,2021,Subsidy- Fertiliser 
30,2021,Subsidy- Food 
31,2021,Subsidy-  Petroleum
32,2021,Agriculture and Allied Activities
33,2021,Commerce and Industry
34,2021,Development of North East
35,2021,Education
36,2021,Energy
37,2021,External Affairs
38,2021,Finance
39,2021,Health
40,2021,Home Affairs
41,2021,Interest
42,2021,IT and Telecom
43,2021,Others
44,2021,Planning and Statistics
45,2021,Rural Development
46,2021,Scientific Departments
47,2021,Social Welfare
48,2021,Tax Administration
49,2021,Transfer to States
50,2021,Transport
51,2021,Union Territories
52,2021,Urban Development
53,2022,Pension
54,2022,Defence
55,2022,Subsidy- Fertiliser 
56,2022,Subsidy- Food 
57,2022,Subsidy-  Petroleum
58,2022,Agriculture and Allied Activities
59,2022,Commerce and Industry
60,2022,Development of North East
61,2022,Education
62,2022,Energy
63,2022,External Affairs
64,2022,Finance
65,2022,Health
66,2022,Home Affairs
67,2022,Interest
68,2022,IT and Telecom
69,2022,Others
70,2022,Planning and Statistics
71,2022,Rural Development
72,2022,Scientific Departments
73,2022,Social Welfare
74,2022,Tax Administration
75,2022,Transfer to States
76,2022,Transport
77,2022,Union Territories
78,2022,Urban Development
79,2023,Pension
80,2023,Defence
81,2023,Subsidy- Fertiliser 
82,2023,Subsidy- Food 
83,2023,Subsidy-  Petroleum
84,2023,Agriculture and Allied Activities
85,2023,Commerce and Industry
86,2023,Development of North East
87,2023,Education
88,2023,Energy
89,2023,External Affairs
90,2023,Finance
91,2023,Health
92,2023,Home Affairs
93,2023,Interest
94,2023,IT and Telecom
95,2023,Others
96,2023,Planning and Statistics
97,2023,Rural Development
98,2023,Scientific Departments
99,2023,Social Welfare
100,2023,Tax Administration
101,2023,Transfer to States
102,2023,Transport
103,2023,Union Territories
104,2023,Urban Development
